Name,Address,Latitude,Longitude,Type
İdeal market (Hökməli),"Abşeron r., Bakı-Şamaxı şossesi 12-ci km. (İdeal market)",40.446374069275095,49.70095361852881,atm
Respublika DYP,"Abşeron r., Xırdalan ş., Sahə 1287 ev 4 (Respublika DYP)",40.4467429,49.7746598,atm
Bazarstore (Höküməli),Abşeron ray Höküməli qəs Bakı Şamaxı şossesi 100/6 (Bazarstore),40.44131784918866,49.74818651483471,atm
Araz market (Saray),"Abşeron rayonu, Saray qəsəbəsi (Saray DYP postun yanında)",40.523947,49.687323,atm
Araz Market (Məhəmmədi),"Abşeron rayonu, Məhəmmədi kəndi, GöyQurşağı-Məmmədli yaşayış kompleksi, bina1",40.511532,49.941772,atm
Araz Market (Ceyranbatan),"Abşeron rayonu, Ceyranbatan qəsəbəsi, Bakı-Sumqayıt şossesi",40.543519,49.662952,atm
Hindarx qəsəbəsi,Ağcabədi r. Hindarx qəs.,40.06560134887695,47.189884185791016,atm
Bazarstore (Ağcabədi),"Ağcabədi r., Hüsü Hacıyev küç",40.04389591992003,47.44712674755466,atm
Xocavənd rayon MRX,"Ağcabədi r., H.Əliyev prospekti 231 (Xocəvənd MRX)",39.74848289323667,47.52689583188733,atm
ABB-nin Ağcabədi filialı,Ağcabədi r. Ü. Hacıbəyli p-ti (ABB Ağcabədi filialı),40.05174789108378,47.44438540181161,atm
Ağcabədi Xəstəxana,"Ağcabədi r., Hüsü Hacıyev küç",40.040845830263585,47.44186014616106,atm
Ağdam 4 yol,"Ağdam ray., Tərtər 4 yolu, qaçqınlar qəsəbəsi",40.240761,47.076033,atm
Oba Market (Xındırıstan),"Agdam r., Xindiristan kəndi",40.121478,47.105222,atm
Səyyar ATM,Ağdam,Səyyar,Səyyar,atm
Quzanlı (market),"Ağdam r., Quzanlı qəsəbəsi, H.Əliyev pr. yerləşən Ömər rmarketin ərazisi",40.163327,47.156348,atm
Store market,"Ağdaş rayonu, Xosrov kəndi (Store market)",40.632770,47.572907,atm
Ləki Nur market,"Agdash rayonu, Leki qesebesi, Sabir k. 1 (Nur market)",40.5593118849288,47.428207445752946,atm
Halal market (Ağdaş),"Ağdaş rayon,Yuxarı Ləki kəndi (Halal Super market)",40.573779,47.324767,atm
Ağdaş Market,"Ağdaş ş., M.İsayev küç. ""Ağdaş"" market (Beş mərtəbəli binanın birinci mərtəbəsi)",40.648036,47.471287,atm
Ləki Dəmir Yolu Stansiyası,"Ağdaş, Ləki qəsəbəsi, Ləki Dəmir Yol Stansiyası",40.55931628166554,47.428209778066986,atm
Birinci Market (Ağdaş),"Ağdaş, H.Əliyev pr., 73A (Birinci market)",40.640642,47.470164,atm
Birinci Market,"Ağdaş r., Məşəd kəndi (Azpetrol YDM)",40.63019365175335,47.46457721515742,atm
Ləki Market,"Bakı-Qazax yolunun 261-ci km (Yuxarı Ləki kəndi, Ləki Market)",40.538446,47.424371,atm
ABB-nin Ağstafa filialı,"Ağstafa, Ağstafa , H.Əliyev küçəsi 50A (ABB Ağstafa filialı)",41.112131,45.440719,atm
Əsədoğlu Market,"Ağstafa şəhər, Heydər Əliyev prospekti 1",41.113903096772376,45.44012155349091,atm
Dərya Market,"Ağstafa ş., H.Əliyev küçəsi 94",41.11051669744541,45.43690289195264,atm
Böyük kəsik stansiyası (Market),"Ağstafa r-nu, Böyük kəsik stansiyası, Market",41.387223,45.182483,atm
Ağstafa Kəsəmən 2,Ağstafa şəhəri R.Alcanov küçəsi,41.12317416863878,45.44745573104018,atm
"Xatai kəndi, Tataroğlu market","Ağstafa rayonu, Xətai kəndi",41.120916859406655,45.46100211841675,atm
