Name,lat,lon,Category,Address,Working Hours,Phone
Araz Azadlıq Minimarket,40.424877,49.842583,Mini,"Binəqədi rayon, 8 mkr, İbrahimpaşa Dadaşov küçəsi 91",08:00 - 23:00,055-515-85-01
Araz Günəşli-7 Supermarket,40.371300,49.978374,Supermarket,"Suraxanı ray., Yeni Günəşli qəs, Baku",08:00 - 23:00,924
Araz Günəşli-8 Supermarket,40.359932,49.970310,Supermarket,"128 İnqilab İsmayılov, Baku",08:00 - 23:00,924
Araz Əhmədli-10,40.381763,49.953346,Supermarket,"Bakı ş.,Xətai r-nu, Məhəmməd Hadi ev. 2337-ci məhəllə",08:00 - 23:00,924
Araz Xətai-4 Ekspres,40.383560,49.880394,Express,Bakı şəh. Xətai ray.Xəqani Rüstəmov ev 21m,08:00 - 23:00,924
Araz Qaraçuxur Minimarket,40.401577,49.978172,Mini,"Suraxanı rayonu, A.Alicanov küçəsi 17",07:30 - 23:00,055-515-85-02
Araz Neftçilər Superstore,40.413345,49.949493,Superstore,"Nizami rayonu, Şərifli küçəsi 25",24\7,055-515-85-03
Araz Olimpik Supermarket,40.401173,49.831348,Supermarket,"Nəsimi rayonu, Mərdanov qardaşları 137",24\7,055-515-85-04
Araz Elmlər Supermarket,40.377277,49.810387,Supermarket,"Yasamal rayonu, Şəhriyar küçəsi, 6 nömrəli binanın 1-ci mərtəbəsi",07:00 - 23:00,055-515-85-05
Araz Xırdalan-1 Superstore,40.455425,49.740528,Superstore,"Xırdalan şəhəri, Mehdi Hüseynzadə küçəsi",07:00  - 00:00,055-515-85-07
Araz Xəzər-1 Minimarket,40.362541,49.961208,Mini,"Xətai rayonu, Əhmədli qəsəbəsi, Gəncə prospekti",07:00 - 23:00,055-515-85-08
Araz Buzovna-1 Supermarket,40.516827,50.102386,Supermarket,"Xəzər rayonu, Buzovna qəsəbəsi, Heydər Eyvazov küçəsi 47",07:00 - 02:00,055-515-85-11
Araz Binə-1 Superstore,40.450150,50.087662,Superstore,"Xəzər rayonu, Binə qəsəbəsi,  Ə.İsazadə küçəsi 5",07:00 - 23:00,055-515-85-13
Araz Günəşli-1 Minimarket,40.383633,49.982338,Mini,"Suraxani rayonu, Yeni Günəşli qəsəbəsi",07:30 - 23:00,055-515-85-14
Araz Statistika Supermarket,40.383541,49.823162,Supermarket,"Yasamal rayonu, İnşaatçılar prospekti 31",24\7,055-515-85-17
Araz Savalan Superstore,40.507488,49.975842,Superstore,"Sabunçu rayonu, Maştağa qəsəbəsi, Zabrat - Maştağa şossesinin sağ tərəfində 27 saylı sahə",07:00 - 02:00,055-515-85-16
Araz Sumqayıt-1 Supermarket,40.590523,49.674782,Supermarket,"Sumqayıt şəhəri, 32-ci məhəllə",08:00 - 23:00,055-515-85-18
Araz Masazır-1 Supermarket,40.458031,49.756222,Supermarket,"Masazır qəsəbəsi, Əliağa Vahid küçəsi",07:00 - 00:00,055-515-85-19
