Name,lat,lon,location_type,phone,address,working_hours,map_link
Bravo Əhmədli,40.375065,49.944519,Hiper,+994 12 404 27 16,Ramiz Quliyev küçəsi 4,24/7,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.375065,49.944519&travelmode=driver"
Bravo Koroğlu m/s,40.418194,49.913635,Hiper,+994 12 404 09 89,Heydər Əliyev prospekti 172,24/7,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.418194,49.913635&travelmode=driver"
Bravo 20 Yanvar m/s,40.401619,49.811024,Hiper,+994 12 525 20 08,Tbilisi Prospekti 3007,24/7,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.401619,49.811024&travelmode=driver"
Bravo Gənclik Mall,40.400177,49.852364,Super,+994 12 525 20 08,Fətəli Xan Xoyski prospekti 14,9:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.400177,49.852364&travelmode=driver"
Bravo Xətai m/s,40.387726,49.874157,Hiper,+994 12 525 20 08,Babak prospekti,24/7,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.387726,49.874157&travelmode=driver"
Bravo 28 Mall,40.379128,49.846539,Super,+994 12 525 20 08,Azadlıq prospekti 15А,09:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.379128,49.846539&travelmode=driver"
Bravo Əsəd Əhmədov küç.,40.393997,49.795109,Super,+994 12 525 20 08,Əsəd Əhmədov küçəsi (Yeni Yasamal yaşayış massivi),24/7,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.393997,49.795109&travelmode=driver"
Bravo Şəmkir,40.853363,46.031227,Super,+994 12 525 20 08,Bakı-Qazax şossesi 406-cı km,07:00 - 02:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.853363,46.031227&travelmode=driver"
Bravo 8 Noyabr pr.,40.373058,49.926048,Super,+994 12 525 20 08,8 noyabr pr. 102B,08:00 - 02:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.373058,49.926048&travelmode=driver"
Bravo Mərdəkan şossesi,40.462429,50.082314,Super,+994 12 525 20 08,Mərdəkan Şosesi,07:00 - 02:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.462429,50.082314&travelmode=driver"
Bravo Yeni Günəşli,40.386593,49.975250,Super,+994 12 525 20 08,İlqar Musayev küçəsi,07:00 - 02:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.386593,49.975250&travelmode=driver"
Bravo Ramiz Qəmbərov küç.,40.412334,49.954147,Super,+994 12 525 20 08,"Bakıxanov qəsəbəsi, Ramiz Qəmbərov küçəsi 2566",08:00 - 02:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.412334,49.954147&travelmode=driver"
Bravo Sumqayıt,40.573364,49.691227,Super,+994 12 525 20 08,Üzeyir Hacıbəyov küçəsi 2,08:00 - 02:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.573364,49.691227&travelmode=driver"
Bravo Şövkət Məmmədova küç.,40.419731,49.846649,Super,+994 12 525 20 08,Şövkət Məmmədova küçəsi 2,24/7,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.419731,49.846649&travelmode=driver"
Bravo 20-ci sahə,40.329807,49.818363,Super,+994 12 525 20 08,Şahlar Allahverdiyev küçəsi 6B,24/7,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.329807,49.818363&travelmode=driver"
Bravo Lökbatan,40.322475,49.732838,Super,+994 12 525 20 08,"Lökbatan qəsəbəsi, 28 May küçəsi",24/7,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.322475,49.732838&travelmode=driver"
Bravo Mirəsədulla Mirqasımov küç.,40.395706,49.840885,Market,+994 12 525 20 08,Mirəsədulla Mirqasımov küçəsi,08:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.395706,49.840885&travelmode=driver"
Bravo Gəncə Mall,40.677006,46.359890,Market,+994 12 525 20 08,"Heydər Əliyev prospekti 433, Gəncə Mall 1-ci mərtəbə",09:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.677006,46.359890&travelmode=driver"
Bravo Şüvəlan,40.486343,50.166718,Super,+994 12 525 20 08,"Şüvəlan qəsəbəsi, Polis Akademiyasının yaxınlığı",,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.486343,50.166718&travelmode=driver"
Bravo Xırdalan,40.450523,49.744705,Market,+994 12 525 20 08,Heydər Əliyev prospekti,07:00 - 02:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.450523,49.744705&travelmode=driver"
"Bravo ""Park Azure"" yaşayış kompleksi",40.379177,49.875526,Market,+994 12 525 22 28,Afiyəddin Cəlilov küçəsi 27A,07:00 - 02:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.379177,49.875526&travelmode=driver"
Bravo Globus Center,40.385128,49.828129,Market,+994 12 525 22 28,Cəfər Cabbarlı küçəsi 609,07:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.385128,49.828129&travelmode=driver"
Bravo Dəniz Mall,40.358597,49.838146,Market,+994 12 525 20 08,"Neftçilər prospekti 26A, Dəniz Mall 1-ci mərtəbəsi",09:00 - 23:00 (only in summer 09:00 - 02:00),"https://www.google.com/maps/dir/?api=1&origin=&destination=40.358597,49.838146&travelmode=driver"
"Bravo ""Sabah Residence"" yaşayış kompleksi",40.350815,49.832806,Market,+994 12 525 20 08,Xanlar Əliyev küçəsi 10,07:00 - 02:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.350815,49.832806&travelmode=driver"
"Bravo ""Bağçalı şəhər"" yaşayış kompleksi",40.574696,49.643204,Market,+994 12 525 20 08,"Sumqayıt şəhəri, Sülh küçəsi 20B",08:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.574696,49.643204&travelmode=driver"
Bravo Zefir Mall,40.376522,49.793922,Market,+994 12 525 20 08,"Xarici Dairəvi Yol 8, Zefir Mall 1-ci mərtəbə",09:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.376522,49.793922&travelmode=driver"
"Bravo ""Şokolad Tower"" yaşayış kompleksi",40.380783,49.809059,Market,+994 12 525 20 08,Həsən bəy Zərdabi prospekti,07:00 - 02:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.380783,49.809059&travelmode=driver"
Bravo Məhəmməd Hadi küç.,40.388016,49.955494,Market,+994 12 525 20 08,Məhəmməd Hadi küçəsi 2320,07:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.388016,49.955494&travelmode=driver"
Bravo Əsəd Əhmədov küç.22,40.388050,49.787800,Market,+994 12 525 20 08,"Əsəd Əhmədov küçəsi, Xarici Dairəvi yol 22",07:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.388050,49.787800&travelmode=driver"
Bravo Şüvəlan Park,40.484509,50.183918,Market,+994 12 525 20 08,Almas İldırım küçəsi 68,09:00 - 23:00 (only in summer 09:00 - 00:00),"https://www.google.com/maps/dir/?api=1&origin=&destination=40.484509,50.183918&travelmode=driver"
Bravo Gəncə Avtovağzal,40.701084,46.321404,Market,+994 12 525 20 08,Gəncə-Şəmkir şossesi sağ tərəfi,08:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.701084,46.321404&travelmode=driver"
Bravo Amburan Mall,40.588303,50.058319,Market,+994 12 525 20 08,"Bilgəh qəsəbəsi, Amburan Mall 1-ci mərtəbəsi",09:00 - 23:00 (only in summer 24/7),"https://www.google.com/maps/dir/?api=1&origin=&destination=40.588303,50.058319&travelmode=driver"
"Bravo ""Şərifzadə Center"" yaşayış kompleksi",40.383671,49.804050,Market,+994 12 525 20 08,Abbas Mirzə Şərifzadə küçəsi 380A,07:00 - 02:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.383671,49.804050&travelmode=driver"
Bravo Mir Cəlal küç.,40.412987,49.804237,Market,+994 12 404 04 80,"4-cü mkr, Mir Cəlal küçəsi 2A",08:00-23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.412987,49.804237&travelmode=driver"
Bravo Səməd Vurğun küç.,40.386280,49.837585,Market,+994 12 525 20 08,Səməd Vurğun küçəsi,07:00 - 02:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.386280,49.837585&travelmode=driver"
Bravo A.M.Şərifzadə küç.,40.398560,49.801273,Market,+994 12 525 20 08,"Abbas Mirzə Şərifzadə Küçəsi 231-233, 2 saylı Bakı Tibb kollecinin yaxınlığında",07:00 - 02:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.398560,49.801273&travelmode=driver"
Bravo Qış Parkı,40.376831,49.835712,Market,+994 12 525 20 08,"Məhəmməd Füzuli küçəsi, Qış parkı ilə üzbəüz",24/7,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.376831,49.835712&travelmode=driver"
Bravo Babək pr.,40.394787,49.963158,Market,+994 12 404 04 80,"Babək prospekti 94, Sərhədçi İdman kompleksinin yaxınlığı",07:00 - 02:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.394787,49.963158&travelmode=driver"
"Bravo ""Qəsr"" yaşayış kompleksi",40.484016,49.757584,Market,+994 12 525 20 08,"Masazır qəsəbəsi, Əliağa Vahid küçəsi 281",08:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.484016,49.757584&travelmode=driver"
Bravo Azadlıq pr.,40.401787,49.837296,Market,+994 12 404 04 80,"Nərimanov rayonu, Azadlıq prospekti 145",24/7,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.401787,49.837296&travelmode=driver"
Bravo İstanbul Evləri,40.416210,49.840031,Market,+994 12 404 04 80,"Binəqədi rayonu, Əcəmi Naxçıvani küçəsi 39L",07:00 - 02:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.416210,49.840031&travelmode=driver"
Bravo Fətəli xan Xoyski küç.,40.403156,49.864838,Market,+994 12 525 20 08,"Fətəli xan Xoyski küçəsi, 5 №-li xəstəxana yaxınlığı",24/7,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.403156,49.864838&travelmode=driver"
"Bravo ""Renessance Palace"" yaşayış kompleksi",40.384518,49.812393,Market,+994 12 525 20 08,Zahid Xəlilov Küçəsi 576,08:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.384518,49.812393&travelmode=driver"
"Bravo ""Park Xətai"" yaşayış kompleksi",40.365807,49.959637,Market,+994 12 525 20 08,Gəncə prospekti 2942A,07:00 - 02:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.365807,49.959637&travelmode=driver"
"Bravo ""Whitestone"" yaşayış kompleksi",40.391796,49.860645,Market,+994 12 525 20 08,Qarabağ küçəsi 68,08:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.391796,49.860645&travelmode=driver"
"Bravo ""Roseville"" yaşayış kompleksi",40.390942,49.849545,Market,+994 12 525 20 08,Kazım Kazımzadə küçəsi 30,08:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.390942,49.849545&travelmode=driver"
Bravo Sabit Orucov küç.,40.380573,49.866737,Market,+994 12 525 20 08,Sabit Orucov küçəsi 13,07:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.380573,49.866737&travelmode=driver"
"Bravo Yasamal ""Asan Xidmət""",40.378220,49.804775,Market,+994 12 525 20 08,Abbas Mirzə Şərifzadə küçəsi 66,08:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.378220,49.804775&travelmode=driver"
Bravo Bakıxanov Mall,40.432003,49.954494,Market,+994 12 525 20 08,"Bakıxanov qəsəbəsi, Yavər Əliyev küçəsi 132",08:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.432003,49.954494&travelmode=driver"
Bravo Məsud Davudoğlu küç.,40.421780,49.835938,Market,+994 12 525 20 08,İsmayıl Dağıstanlı küçəsi 32 (Məsud Davudoğlu küçəsi),08:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.421780,49.835938&travelmode=driver"
Bravo Elşən Süleymanov küç.,40.409325,49.956383,Ekspres,+994 12 525 20 08,Elşən Süleymanov küçəsi 137A,08:00 - 02:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.409325,49.956383&travelmode=driver"
Bravo Yavər Əliyev küç.,40.437290,49.959236,Market,+994 12 525 20 08,Yavər Əliyev küçəsi 10,08:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.437290,49.959236&travelmode=driver"
Bravo Təbriz küç.,40.393024,49.857925,Market,+994 12 525 20 08,Təbriz küçəsi 41,07:00 - 02:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.393024,49.857925&travelmode=driver"
Bravo Bilgəh,40.554775,50.022442,Market,+994 12 525 20 08,"Nardaran qəsəbəsi, Azərbaycan Qadını küçəsi",09:00 - 23:00 (only in summer 24/7),"https://www.google.com/maps/dir/?api=1&origin=&destination=40.554775,50.022442&travelmode=driver"
Bravo Savalan,40.506317,49.974953,Market,+994 12 525 20 08,Zabrat - Maştağa şossesi 14,08:00 - 02:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.506317,49.974953&travelmode=driver"
Bravo Adil İsgəndərov küç.,40.677341,46.371674,Market,+994 12 525 20 08,"Gəncə şəhəri, Adil İsgəndərov küçəsi 2",24/7,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.677341,46.371674&travelmode=driver"
Bravo Adil Məmmədov küç.,40.421795,49.809044,Market,+994 12 525 20 08,Adil Məmmədov küçəsi 42C,08:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.421795,49.809044&travelmode=driver"
Bravo Xəqani küç.,40.374973,49.850178,Ekspres,+994 12 525 20 08,Xaqani küçəsi 26/32,07:00-23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.374973,49.850178&travelmode=driver"
Bravo Bülbül küç.,40.374413,49.843643,Ekspres,+994 12 525 20 08,Bülbül prospekti 18,24/7,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.374413,49.843643&travelmode=driver"
"Bravo ""Life Center"" yaşayış kompleksi",40.403027,49.867691,Ekspres,+994 12 525 20 08,"Nərimanov rayonu, Əhməd Rəcəbli prospekti",07:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.403027,49.867691&travelmode=driver"
Bravo Sabunçu,40.443058,49.942692,Ekspres,+994 12 525 20 08,"Sabunçu qəsəbəsi, №3 xəstəxana yaxınlığı",08:00 - 00:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.443058,49.942692&travelmode=driver"
"Bravo ""Rahatlıq məkanı"" yaşayış kompleksi",40.416355,49.933159,Market,+994 12 525 20 08,Əlif Hacıyev küçəsi,07:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.416355,49.933159&travelmode=driver"
Bravo Axundov parkı,40.368645,49.830395,Ekspres,+994 12 525 20 08,Əhməd Cavad küçəsi 3,08:00-02:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.368645,49.830395&travelmode=driver"
"Bravo ""Azinko"" yaşayış kompleksi",40.406548,49.876183,Ekspres,+994 12 525 20 08,Əliyar Əliyev küçəsi 26,07:00 - 02:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.406548,49.876183&travelmode=driver"
Bravo M.K.Atatürk pr.,40.408398,49.847549,Ekspres,+994 12 525 20 08,Mustafa Kamal Atatürk prospekti 27,24/7,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.408398,49.847549&travelmode=driver"
Bravo Surxay Cabbarov küç.,40.417351,49.966877,Ekspres,+994 12 525 20 08,Surxay Cabbarov küçəsi 2B,08:00 - 22:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.417351,49.966877&travelmode=driver"
"Bravo ""Bakı Tennis Akademiyası""",40.422466,49.842594,Ekspres,+994 12 525 20 08,"8-ci mkr, İbrahimpaşa Dadaşov küçəsi",07:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.422466,49.842594&travelmode=driver"
Bravo Məhəmməd Xiyabani küç.,40.399067,49.792599,Ekspres,+994 12 525 20 08,Məhəmməd Xiyabani küçəsi 202A,08:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.399067,49.792599&travelmode=driver"
Bravo Sumqayıt Dəmiryol st.,40.561970,49.681252,Ekspres,+994 12 525 20 08,Sumqayıt Dəmiryolu stanstiyası,07:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.561970,49.681252&travelmode=driver"
Bravo Hüseyn Seyidzadə küç.,40.415878,49.819038,Ekspres,+994 12 525 20 08,Hüseyn Seyidzadə küçəsi 56,08:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.415878,49.819038&travelmode=driver"
Bravo Xalqlar Dostluğu m/s,40.402592,49.955204,Ekspres,+994 12 525 20 08,Bəhruz Nuriyev küçəsi 2383,08:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.402592,49.955204&travelmode=driver"
Bravo Cəmşid Naxçıvanski küç.,40.406052,49.949257,Ekspres,+994 12 525 20 08,Cəmşid Naxçıvanski küçəsi 51,08:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.406052,49.949257&travelmode=driver"
