name,fullName,address,lat,lon
Musviqabad Postu DYP,,-,40.469228,49.628294
Ekologiya Postu DYP,,-,40.438587,49.77644
BolMart Mehdiabad,,"Absheron r-nu, Mehdiabad qes., 28 may, ev 172",40.501562,49.856133
Azer City super market,,"Baki-Sumqayit soss., 12-ci km",40.450836,49.76495
Spar market Fatmayi,,"Binaqedi ray., Fatmayi-Goredil baglari",0.0,0.0
Araz supermarket 2 (Masazir),,"Masazir qes, Aliaga Vahid kuc.",40.475238,49.753099
Araz supermarket (Masazir),,"Masazir qes., Aliaga Vahid kuc.",40.458,49.75621
Shok market,,"Masazir qes, A.Vahid kuc.",40.481342,49.755828
Araz Mehdiabad,,Mehdiabad qes.,40.49627,49.85587
Rahat Market,,"Mehdiabad qes., Azizbəyov kuc., ev 1C",40.49449,49.85568
Shok market,,"Mehdiabad qes., Garant Yasayıs Massivi",40.486164,49.838354
Rahat Market,,"Mushviqabad qes., Shamaxi shossesi",40.469921,49.62685
Araz supermarket (Saray),,Saray qes.,40.5232638,49.6875601
Saray Postu DYP,,Saray qes.,40.522817,49.68794
BolMart Market,,Saray qes.,40.522221,49.68882
BDYPİ Qeydiyyat-İmtahan İdarəsi 1,,"Xirdalan - Bineqedi shos., 4",40.445847,49.773465
Bazarstore,,"Xirdalan seh., Baki- Shamaxi yolu 4-cu km",40.441141,49.748095
Elit Optimal Xırdalan,,"Xirdalan seh., H.Aliyev pr., 457",40.449971,49.745987
Megastore supermarket,,"Xirdalan seh, Qalubiyye kuc, ev 3/14",40.454632,49.745358
Agcabedi rayonu DYP sobesi,,-,40.049747,47.451687
Bazarstore Ağcabədi,,H.Haciyev kuc.,40.044053,47.447172
Alsu Mall,,Sherefxanli kendi,40.050891,47.172676
Neptun supermarket,,"U.Hacibeyev pr., 213",40.052532,47.441929
Agdam market,,"Quzanli qes., H.Aliyev pr.",40.158224,47.160699
Brend Store,,"Quzanli qes., H.Aliyev pr.",40.163065,47.156007
Agdam rayon DYP sobesi,,Xindiristan kendi,40.124347,47.103405
Agdas seheri DYP sobesi,,H.Aliyev pr. 9-ci dalan,40.647124,47.472202
Agstafa seheri DYP sobesi,,"H. Aliyev pr., 57",41.111736,45.441493
Agsu seheri DYP sobesi,,-,40.571915,48.388222
Ağsu Regional Dövlət Miqrasiya Xidməti İdarəsi,,M.A.Resulzade kucesi,40.57795,48.375915
Elit Optimal  Ağsu,,"N.Gencevi kuc., 8 A",40.567185,48.393206
Pasha Sigorta,,"Nizami kuc., 5",40.567203,48.391584
Anbar 1 (Yığım),,Anbar,0.0,0.0
Anbar 15 ( Yığım),,Anbar,0.0,0.0
Anbar 18 (Yığım),,Anbar,0.0,0.0
Anbar 12 (Yığım),,Anbar,0.0,0.0
Anbar 11 (Yığım),,Anbar,0.0,0.0
Anbar 9 (Yığım),,Anbar,0.0,0.0
Anbar 16 (Yığım),,Anbar,0.0,0.0
Anbar 2 (Yığım),,Anbar,0.0,0.0
Astara seheri DYP sobesi,,"Heydar Aliyev kuc., 35",38.44787,48.874294
Nesimi rayon DYP sobesi,,-,40.396671,49.838276
Nizami rayon DYP sobesi,,-,40.413616,49.929211
Qaradag Postu DYP,,-,40.145455,49.45186
Suraxani rayon DYP sobesi,,-,40.418669,50.007289
Xezer rayon DYP sobesi,,-,40.470859,50.11599
28 May M/S,,-,40.379915,49.848715
Araz supermarket (Avesta),,1104-cu məh.,40.40984,49.84633
Bakcell Memar Acemi,,"5-ci mkr., Cavadxan kuc., meh., 3005",40.411165,49.814241
Araz supermarket,,"8-ci km qes., Cobanzade kuc., 4C",40.398228,49.816482
Rahat market,,"8-ci mkr, S.Axundov kuc., 5F",40.4272889,49.8446867
Rahat Market,,"8-ci mkr., Suleynan Sani Axundov kuc., ev 3G",40.42558,49.84391
Araz supermarket,,"9-cu mik., Mir Celal kuc., 59/K",40.41901,49.81121
Rahat market,,"9-cu mkr., 3169 meh., Mir Celal kuc., 143B",40.4256174,49.8187465
SafaStore Market,,"9-cu mkr., Mir Calal kuc.",40.41435,49.80495
BolMart 3 (Oxford),,"A.Abbaszade kuc., ev 17",40.3544835,49.8169719
Araz supermarket 1 (Lider AS),,"A.Alekberov kuc., 1054-cu meh.",40.392731,49.816168
Elit Market,,"Acemi Naxcivani kuc., 23",40.41859,49.85127
Rahat market MetroPark,,"Aga Nematulla ile Tebriz kuc.,  kesishmesi",40.40331,49.87237
Xezer Market,,"Aga Nemetulla pr., 1950",40.4013,49.87625
Vergi X/M,,"Aga Neymatulla kuc., 44",40.406466,49.869461
Araz supermarket Nerimanov 1,,Aga Neymetulla kuc.,40.3968202,49.8785851
Araz supermarket,,"A. Haqverdiyev kuc., meh., 574",40.38007,49.81097
