Name,Address,Latitude,Longitude
OBA Market-NERIMANOV,"102 Yusif Vazir Chamanzaminli, Baku, Azərbaycan",40.410468097545,49.867568
OBA Market-ISMAYILLI 4,"Fətəli Xan Xoyski, Bakı, Azərbaycan",40.406785097545,49.871346
OBA Market-NERIMANOV 6,"Montin, Bakı, Azərbaycan",40.401177097545,49.87622
OBA Market-NEFTCHILER 13,"Nərimanov, Bakı, Azərbaycan",40.399362097545,49.880562
OBA Market-NEFTCILER 14,"Bakı, Azərbaycan",40.400192097545,49.881537
OBA Market-ISMAYILLI 3,"Zakir, Bakı, Azərbaycan",40.392854097545,49.891103
OBA Market-TURKAN 2,"Nərimanov, Bakı, Azərbaycan",40.418100097545,49.897195
OBA Market-KESHLE,"2nd Uzununa Street, Bakı, Azərbaycan",40.408995097545,49.899927
OBA Market-NIZAMI 3,"Kesla, Bakı, Azərbaycan",40.392637097545,49.903897
OBA Market-NOVXANI 2,"Xətai, Bakı, Azərbaycan",40.386892097545,49.905837
OBA Market-NESIMI 2,"Xətai, Bakı, Azərbaycan",40.388244097545,49.907791
OBA Market-NOVXANI,"Oqtay Vəliyev, Bakı, Azərbaycan",40.391078097545,49.914766
OBA Market-NIZAMI 2,"Həzi Aslanov, Bakı, Azərbaycan",40.390529097545,49.920014
OBA Market-QALA 3,"r3 Tofig Abbasov St, Baku, Azərbaycan",40.419833097545,49.92635
OBA Market-QARACUXUR 6,"15 Tofig Abbasov St, Baku, Azərbaycan",40.420546097545,49.927411
OBA Market-QARACUXUR,"Azar Manafov, Qaraçuxur, Azərbaycan",40.415982097545,49.930096
OBA Market-QALA 2,"8-ci kilometer, Bakı, Azərbaycan",40.419083097545,49.93203
OBA Market-NEFTCHILER 2,"8-ci kilometer, Azərbaycan",40.402787097545,49.93747
OBA Market-NEFTCHILER 3,"Məhsəti Gəncəvi, Qaraçuxur, Azərbaycan",40.403294097545,49.94041
OBA Market-NEFTCALA 2,"8-ci kilometer, Qaraçuxur, Azərbaycan",40.407289097545,49.941948
OBA Market-NEFTCHILER 4,"8-ci kilometer, Qaraçuxur, Azərbaycan",40.413263097545,49.945666
OBA Market-XACMAZ 3,"8th Kilometer, Bakı, Azərbaycan",40.401856097545,49.946487
OBA Market-NEFTCALA 3,"8-ci kilometer, Bakı, Azərbaycan",40.402852097545,49.946939
OBA Market-NEFTCHALA 6,"Qara Qarayev, Qaraçuxur, Azərbaycan",40.405671097545,49.947775
OBA Market-NEFTCHILER 6,"Bakı, Azərbaycan",40.409207097545,49.949222
OBA Market-NEFTCHILER 5,"Naxçıvanski, Qaraçuxur, Azərbaycan",40.406646097545,49.95138
OBA Market-XACMAZ 5,"Bakı, Azərbaycan",40.398814097545,49.951478
OBA Market-ULD_SUMQAYIT 5,"8-ci kilometer, Bakı, Azərbaycan",40.397812097545,49.952804
OBA Market-NEFTCHALA 7,"Nakchivanski 72, Baku, Azərbaycan",40.406540097545,49.954346
OBA Market-8 KM 3,"Naxçıvanski, Qaraçuxur, Azərbaycan",40.408380097545,49.955781
OBA Market-ULD_MUSFIQABAD,"8-ci kilometer, Qaraçuxur, Azərbaycan",40.401683097545,49.955857
OBA Market-8 KM,"Elshan Suleymanov, Qaraçuxur, Azərbaycan",40.407121097545,49.959271
OBA Market-ULDUZ 1,"160A Elshan Suleymanov, Baku, Azərbaycan",40.397550097545,49.959573
